"BufferLanduse100mMax","BufferAlbedo100m","BufferCanopy100m","BufferElevation100m","Cluster"
-0.448150450211267,-0.817589898321272,-0.483027520104073,-0.759534685842056,1
-0.448150450211267,-0.147423310090434,-0.259133403671245,1.33182222945691,1
-0.448150450211267,0.802115420524797,-0.148364888007467,-0.7344945115886,5
-0.448150450211267,-0.36666456814058,-0.630316022435643,-0.973384227415976,1
-0.448150450211267,1.09421188862037,-0.390265197835828,-0.592845629105567,5
-0.448150450211267,-0.144214077499561,-0.535318245908753,-0.174283987024321,1
1.84402890168899,-1.90540714197481,2.25338009301136,0.473752417414725,2
-0.448150450211267,1.33743793761283,-0.935602530296353,-1.2428051809601,5
-0.448150450211267,1.08711779552475,-0.754948969047354,-0.369273948137753,5
-0.448150450211267,1.12765547035683,-0.506167045891143,-0.757502103779461,5
-0.448150450211267,-0.308053846612536,-0.00549539217542708,-1.00221189094535,1
-0.448150450211267,-0.9506322950271,0.183995857104722,0.410930973610786,4
2.22605879367236,-2.26461598284793,2.34833051707124,2.11503056641401,6
1.84402890168899,-2.23269256391767,1.95052689844301,3.35699300520625,6
-0.448150450211267,0.973387096690319,-0.62365729067064,-2.17798927316321,5
2.99011857763911,-0.935092853008137,0.00446956311442837,-0.669282833151976,3
2.22605879367236,-2.59719382344942,2.28511172393696,4.13047232587674,6
-0.448150450211267,-0.260309474032535,-0.778273540847652,-0.597855364227372,1
-0.448150450211267,-0.140610728625599,0.682708140014042,0.132879844598342,4
-0.448150450211267,-1.34677546185833,0.143674952903811,-0.0356157772699995,4
-0.448150450211267,-1.00023464437024,0.971186657590461,-0.757746693735418,4
-0.448150450211267,-0.0213060995017523,-0.589655944583793,-0.503099742443484,1
-0.448150450211267,0.163309227962662,-0.645198577848227,0.380986654320563,1
-0.448150450211267,-0.439744987490628,-0.536518166707524,-0.812684998385488,1
-0.448150450211267,-0.0509211230596302,-0.548354937163798,-0.105738315189823,1
-0.448150450211267,-0.359063754109565,-0.702993378006721,-0.546504252584221,1
-0.448150450211267,0.390658020979223,-0.663244835144768,0.16623743107336,1
-0.448150450211267,1.54564393973646,-0.594118403935401,-0.0120764983894019,5
-0.448150450211267,0.259304694058065,-0.319913869722544,-0.0120764983894019,1
-0.448150450211267,0.110328739050185,-0.071128232647351,0.0576523780338961,1
-0.448150450211267,0.394599183810119,-0.497906779413562,-0.237009370925257,1
-0.448150450211267,0.727345931390078,-0.514039672075083,0.301156109833612,1
-0.448150450211267,0.889834444675318,-0.517864358689681,-0.00554334200993063,5
-0.448150450211267,0.417345323577006,-0.374956655916124,-0.124987116948388,1
-0.448150450211267,-0.197025659433572,-0.40189528870081,-0.186149063656865,1
-0.448150450211267,0.424157905041841,-0.435239596095932,-0.0103345327300875,1
-0.448150450211267,0.58613969739168,-0.536479681222083,0.330687544816957,1
-0.448150450211267,0.632476511817788,-0.705414435366441,-0.308342566855989,5
-0.448150450211267,1.00857605053761,-0.320550946099745,-0.205043191027227,5
-0.448150450211267,0.293649113013018,-0.601907884758154,-0.042492832434124,1
-0.448150450211267,0.721828303426823,-0.74842319558187,-0.357034595265321,5
-0.448150450211267,-0.0189414018032145,-0.445073125077848,-0.144328675535502,1
-0.448150450211267,1.13300419134162,-0.801076353455107,-0.486418891553036,5
-0.448150450211267,0.666370512163497,-0.711714495405856,-0.313425619400942,5
-0.448150450211267,0.339873322786816,-0.330855260736489,-0.0263110165301923,1
-0.448150450211267,1.22984419232936,-0.701597919373602,0.0256527342012239,5
-0.448150450211267,1.1900384477373,-0.764461058341465,-0.518986772489495,5
2.22605879367236,-1.04020929594076,1.89790623736085,0.589259144197838,2
1.84402890168899,0.731399698873286,1.72330979942592,0.194157886251599,3
-0.448150450211267,-0.365932637900556,1.60054207577444,0.530947967339094,4
1.84402890168899,-0.369592289100674,1.71177589906255,0.409559223034242,3
2.22605879367236,-1.99740514291316,2.37423468414776,0.865235563411196,2
