"iTreeDTR","iTreeTmax","iTreeTmin","Cluster"
-0.134235427506065,-0.024004081440674,0.990390256611609,4
-0.467451523678284,-0.348548282257061,0.914133016146247,4
-0.096304934312168,0.00435450633864026,0.916944342983707,4
0.81151366884717,0.947020412546915,1.68408515374795,3
-0.321142669197468,-0.209473653588036,0.91483584785565,4
0.378812191443688,0.476789477102588,1.11830562771479,4
-1.77212902810376,-1.61083604373452,0.696255186245377,1
1.73247841643661,1.99074133816048,3.29848959014341,3
1.26451433985594,1.47352771648592,2.60374044544296,3
0.730046238511263,0.815659907496604,1.16785526322451,3
-0.364408950424742,-0.255868597066357,0.864231964781786,4
-0.902936890490478,-0.790494097766038,0.644245639752744,4
-1.75720428766253,-1.60712591761312,0.596101667661833,1
-1.76857183608149,-1.60815446742896,0.689578285006467,1
-0.176459035047369,-0.238386923589455,-0.676749985709237,2
-1.50420931578075,-1.52396154268294,-0.90770048540429,1
-1.63705626059761,-1.65332372237677,-0.937840251873883,1
1.36648331131435,1.40380673254144,1.00998754744084,3
-1.1868948990182,-1.2649335162068,-1.31367950845318,1
-0.907936291886984,-0.969845022973288,-1.02608073667115,1
-1.25489655317708,-1.32653997678283,-1.2849922608498,1
0.834296452679599,0.784933206212748,-0.0735915266000994,2
0.679474825261453,0.61021075517674,-0.337949960213291,2
0.14832676980422,0.0801218938433195,-0.581609999985743,2
0.727139909522058,0.659404823511023,-0.300547599413502,2
-0.525377044782801,-0.57116809418095,-0.689096396070355,1
0.456331911937486,0.37763972378471,-0.534766266557062,2
0.73073576667499,0.635642873837224,-0.560548476428645,2
-0.12212164206505,-0.186687601775195,-0.67602372627652,2
-0.131550778599416,-0.197695533732715,-0.695632730967292,2
0.69313908244262,0.623989649316684,-0.330324599296675,2
0.813400527224183,0.732664508607588,-0.383704304492431,2
0.73828706669616,0.654166566234685,-0.451972691194763,2
0.488694626313929,0.405007720134246,-0.567084811325775,2
0.119000557023596,0.0499829353113681,-0.603397782975907,2
0.587980237703376,0.502750564239773,-0.534403136840587,2
0.812321770078315,0.73623259689727,-0.339765608795743,2
1.25401289036413,1.28382027420453,0.88434466553124,3
-0.230916297925589,-0.292098039864914,-0.695632730967331,2
0.887794816321629,0.844793581029993,0.0128333459273757,2
1.33432036677974,1.38778829362395,1.14906622886098,3
0.499202519994186,0.419849449083872,-0.520604207613531,2
0.648630361682919,0.559764060102486,-0.540213212304574,2
1.27578780711898,1.30955605995347,0.932640917825976,3
0.00117630431235295,-0.0690925217600813,-0.671666169678278,2
0.946886735534899,0.889850185283685,-0.0932005312911041,2
0.451817113512141,0.369592545939886,-0.570716108490796,2
-1.5394886698479,-1.5718270675051,-1.04496351824198,1
-1.52410639202701,-1.55892121624456,-1.06130435548448,1
-1.48511131890181,-1.52456887685991,-1.08708656535614,1
-1.60209653827738,-1.62610755957147,-0.995214747081268,1
